source,target,weight
"Newborough, Thomas (46649720)","ROGERS, William (bbti_104038)",2
"Newborough, Thomas (46649720)","Rhodes, H. (41714688)",1
"Newborough, Thomas (46649720)","HARRIS, Elizabeth (bbti_31005)",1
"Newborough, Thomas (46649720)","BARKER, B. (benjaminbarker_0)",1
"Newborough, Thomas (46649720)","Parsons, William, 1658-1725?. (74704276)",1
"Newborough, Thomas (46649720)","SPRINT, Samuel (bbti_104617)",1
"Newborough, Thomas (46649720)","Heptinstall, J. (269036155)",2
"Newborough, Thomas (46649720)","Aylmer, Brabazon (41690231)",1
"Newborough, Thomas (46649720)","Nicholson, J. (19553220)",1
"Newborough, Thomas (46649720)","BROME, Charles (bbti_9392)",1
"Newborough, Thomas (46649720)","Bonwicke, Henry (73741053)",1
"Newborough, Thomas (46649720)","CHAPMAN, Thomas (bbti_13173)",1
"Newborough, Thomas (46649720)","MONCKTON, Philip (bbti_47943)",1
"Newborough, Thomas (46649720)","Midwinter, D. (173741386)",2
"Newborough, Thomas (46649720)","MOORE, Thomas (bbti_48210)",1
"Newborough, Thomas (46649720)","HARTLEY, John (bbti_31555)",1
"Goodwin, T. (66518994)","Tonson, Jacob (330654)",5
"Goodwin, T. (66518994)","WOOTTON, Matthew (bbti_78047)",1
"Goodwin, T. (66518994)","FREEMAN, William (bbti_105242)",6
"Goodwin, T. (66518994)","COGGAN, Francis (bbti_14903)",2
"Goodwin, T. (66518994)","Midwinter, D. (173741386)",1
"Goodwin, T. (66518994)",A. and J. Churchill (bbti_107835),2
"Goodwin, T. (66518994)","BELL, Andrew (bbti_5367)",1
"Goodwin, T. (66518994)","TAYLOR, John (bbti_107515)",1
"Goodwin, T. (66518994)","KNAPLOCK, Robert (bbti_107957)",1
"Goodwin, T. (66518994)","Tooke, Benjamin (100328493)",8
"Goodwin, T. (66518994)","BROWN, Daniel (bbti_107361)",1
"Goodwin, T. (66518994)","Lintott, Bernard (34509981)",1
"Goodwin, T. (66518994)","LEWIS, William (bbti_42637)",1
"Goodwin, T. (66518994)","HORNE, Thomas (bbti_35104)",1
"Goodwin, T. (66518994)","Collins, Freeman (41727978)",1
"Goodwin, T. (66518994)","WALTHOE, John I (bbti_72801)",4
"Goodwin, T. (66518994)","WOTTON, Mathew (bbti_105842)",6
"Goodwin, T. (66518994)","Nicholson, J. (19553220)",4
"Goodwin, T. (66518994)","SMITH, Ralph (bbti_64335)",3
"Goodwin, T. (66518994)","MANSHIP, Samuel (bbti_104724)",5
"Goodwin, T. (66518994)","PARKER, Richard (bbti_52439)",4
"Goodwin, T. (66518994)","BONWICKE, Rebecca (bbti_7688)",3
"Goodwin, T. (66518994)","PEMBERTON, John (bbti_53584)",3
"Goodwin, T. (66518994)","LINTOT, Joshua (bbti_42947)",3
"Goodwin, T. (66518994)","JONES, Mary (bbti_38814)",1
"Goodwin, T. (66518994)","Bonwicke, Henry (73741053)",2
"Goodwin, T. (66518994)","Jones, Edward (19566142)",4
"Goodwin, T. (66518994)","WOTTON, Matthew (bbti_78165)",1
