source,target,weight
"Goodwin, T. (66518994)","ROGERS, William (bbti_104038)",2
"Goodwin, T. (66518994)","HARTLEY, John (bbti_31555)",1
"Goodwin, T. (66518994)","HARRISON, J (bbti_31247)",1
"Goodwin, T. (66518994)","CLEAVE, John (bbti_108083)",1
"Goodwin, T. (66518994)","BOSVILLE, Alexander (bbti_7880)",1
"Goodwin, T. (66518994)","BROWNE, Daniel I (bbti_10232)",1
"Goodwin, T. (66518994)","PLACE, Edward (bbti_54789)",1
"Goodwin, T. (66518994)","VINCENT, Robert (bbti_71765)",1
"Bragg, B. (44148715)","D'Urfey, Thomas, 1653-1723. (5060938)",1
"Bragg, B. (44148715)","LEACH, Francis (bbti_41727)",1
"Bragg, B. (44148715)","BRISCOE, Samuel (bbti_9201)",2
"Bragg, B. (44148715)","Gildon, Charles, 1665-1724. (50128721)",2
"Bragg, B. (44148715)","Janeway, Richard (77742949)",1
"Bragg, B. (44148715)","BRADYLL, Thomas (bbti_107764)",1
"Bragg, B. (44148715)","BURROWS, Samuel (bbti_11228)",1
"Bragg, B. (44148715)","BULLOCK, Thomas (bbti_10810)",1
"Bragg, B. (44148715)","Downing, W. (39262887)",1
"Bragg, B. (44148715)","TAYLOR, John (bbti_107515)",1
"Bragg, B. (44148715)","MONTGOMERY, Hugh (bbti_48010)",1
heirs and successors of Andrew Anderson (121294363),"DOM, Dom (annodom_0)",7
"Hills, H. (255661736)","Bugg, Francis, 1640-1724?. (17569100)",1
"Hills, H. (255661736)","Newcomb, Thomas (12361109)",2
"Collins, Freeman (41727978)","WALTHOE, John I (bbti_72801)",1
"Collins, Freeman (41727978)","WOTTON, Mathew (bbti_105842)",1
"Collins, Freeman (41727978)","Nicholson, J. (19553220)",1
"Collins, Freeman (41727978)","Tooke, Benjamin (100328493)",1
"Collins, Freeman (41727978)","SMITH, Ralph (bbti_64335)",1
"Collins, Freeman (41727978)","MANSHIP, Samuel (bbti_104724)",1
"Collins, Freeman (41727978)","PARKER, Richard (bbti_52439)",1
"Collins, Freeman (41727978)","BONWICKE, Rebecca (bbti_7688)",1
"Collins, Freeman (41727978)","FREEMAN, William (bbti_105242)",1
"Collins, Freeman (41727978)","PARKER, Edmund (bbti_105768)",2
"Collins, Freeman (41727978)","Nutt, J. (26938284)",4
"Collins, Freeman (41727978)","Strahan, G. (71442890)",3
"Collins, Freeman (41727978)","Bennet, Thomas (51743443)",1
"Collins, Freeman (41727978)",Company of Stationers (122574378),1
"BALLARD, Samuel (bbti_107794)","HARRISON, Richard (bbti_31336)",1
"BALLARD, Samuel (bbti_107794)","Nicholson, J. (19553220)",3
"BALLARD, Samuel (bbti_107794)","KNAPLOCK, Robert (bbti_107957)",1
"SPRINT, Samuel (bbti_104617)","Bennet, Thomas (51743443)",1
"SPRINT, Samuel (bbti_104617)","PARKER, Richard (bbti_52439)",1
"SPRINT, Samuel (bbti_104617)",J. and P. Knapton (150016994),1
"SPRINT, Samuel (bbti_104617)","HARRIS, George (bbti_31021)",1
"SPRINT, Samuel (bbti_104617)","WYAT, John (bbti_78573)",1
"SPRINT, Samuel (bbti_104617)","BRADYLL, Thomas (bbti_107764)",1
"SPRINT, Samuel (bbti_104617)","TAYLOR, John (bbti_68100)",1
"SPRINT, Samuel (bbti_104617)","Midwinter, D. (173741386)",1
"SPRINT, Samuel (bbti_104617)","Nicholson, J. (19553220)",2
"SPRINT, Samuel (bbti_104617)","Tooke, Benjamin (100328493)",1
"SPRINT, Samuel (bbti_104617)","BROME, Charles (bbti_9392)",2
"SPRINT, Samuel (bbti_104617)","LEIGH, T. (thomasleigh_0)",1
"SPRINT, Samuel (bbti_104617)","Heptinstall, J. (269036155)",1
"SPRINT, Samuel (bbti_104617)","Aylmer, Brabazon (41690231)",1
"SPRINT, Samuel (bbti_104617)","ROGERS, William (bbti_104038)",1
"SPRINT, Samuel (bbti_104617)","Bonwicke, Henry (73741053)",1
"SPRINT, Samuel (bbti_104617)","CHAPMAN, Thomas (bbti_13173)",1
"SPRINT, Samuel (bbti_104617)","MONCKTON, Philip (bbti_47943)",1
"SPRINT, Samuel (bbti_104617)","Downing, J. (51926513)",1
"SPRINT, Samuel (bbti_104617)","TAYLOR, John (bbti_107515)",1
"SPRINT, Samuel (bbti_104617)","Lintott, Bernard (34509981)",1
"SPRINT, Samuel (bbti_104617)","Ballard, Thomas, active 1698-1734. (72811927)",1
"SPRINT, Samuel (bbti_104617)","ROBINSON, Joseph (bbti_113639)",1
"SPRINT, Samuel (bbti_104617)","SIMPSON, Ralph (bbti_63169)",1
"SPRINT, Samuel (bbti_104617)","NEWMAN, Hugh (bbti_50050)",1
"SPRINT, Samuel (bbti_104617)","Parkhurst, Thomas (13724886)",1
"Clark, H. (73772960)","BOULTER, Whattoff (bbti_7972)",2
"Clark, H. (73772960)",Company of Stationers (122574378),1
"Clark, H. (73772960)","TAYLOR, John (bbti_68100)",1
"Clark, H. (73772960)","Keble, Samuel (61423499)",1
"Clark, H. (73772960)",A. and J. Churchill (bbti_107835),1
"Bill, Charles (44350696)","Newcomb, Thomas (12361109)",37
"CAMPBELL, Patrick (patrickcampbel_0)","Brocas, John (41726148)",1
"CAMPBELL, Patrick (patrickcampbel_0)","MILNER, Jacob (jacobmilner_0)",1
"BOTHAM, William I (bbti_7900)","Lloyd, William, Curate of Diss, Norfolk. (68801762)",1
"BOTHAM, William I (bbti_7900)","Bennet, Thomas (51743443)",1
"BOTHAM, William I (bbti_7900)","BOSVILLE, Alexander (bbti_7880)",1
"BOTHAM, William I (bbti_7900)",A. and J. Churchill (bbti_107835),2
"BOTHAM, William I (bbti_7900)","SARE, Richard (bbti_60899)",4
"BOTHAM, William I (bbti_7900)","KNAPTON, James (bbti_40501)",4
"BOTHAM, William I (bbti_7900)","WILKIN, Richard (bbti_75857)",2
"BOTHAM, William I (bbti_7900)","WYAT, John (bbti_78573)",1
"BOTHAM, William I (bbti_7900)","Robinson, Jonathan (19565519)",1
"WALTHOE, John I (bbti_72801)","WOTTON, Mathew (bbti_105842)",6
"WALTHOE, John I (bbti_72801)","Nicholson, J. (19553220)",5
"WALTHOE, John I (bbti_72801)","Tooke, Benjamin (100328493)",3
"WALTHOE, John I (bbti_72801)","SMITH, Ralph (bbti_64335)",3
"WALTHOE, John I (bbti_72801)","MANSHIP, Samuel (bbti_104724)",3
"WALTHOE, John I (bbti_72801)","PARKER, Richard (bbti_52439)",5
"WALTHOE, John I (bbti_72801)","BONWICKE, Rebecca (bbti_7688)",3
"WALTHOE, John I (bbti_72801)","FREEMAN, William (bbti_105242)",5
"WALTHOE, John I (bbti_72801)","Conyers, G. (21998777)",1
"WALTHOE, John I (bbti_72801)","Chiswell, Richard (24655896)",1
"WALTHOE, John I (bbti_72801)","Dawks, J. (63599288)",1
"WALTHOE, John I (bbti_72801)","SPRINT, John (bbti_108120)",1
"WALTHOE, John I (bbti_72801)","Ballard, Thomas, active 1698-1734. (72811927)",1
"WALTHOE, John I (bbti_72801)",assigns of Richard and Edward Atkins (121292554),3
"WALTHOE, John I (bbti_72801)","COX, --- (bbti_16704)",1
"Baldwin, A. (36972115)","BROWN, Daniel (bbti_107361)",1
"Baldwin, A. (36972115)","FABIAN, M. (maryfabian_0)",1
"Baldwin, A. (36972115)","MAXWELL, J. (johnmaxwell_0)",1
"Baldwin, A. (36972115)","Senex, J. (13471693)",1
"Baldwin, A. (36972115)","Bisset, William, 1669?-1747. (71742773)",1
"Baldwin, A. (36972115)","Harrison, T. (31857518)",2
"Baldwin, A. (36972115)","BILLING, R (bbti_6378)",1
"Baldwin, A. (36972115)","DRURY, Samuel (bbti_21004)",1
"Baldwin, A. (36972115)","Fuller, William, 1670-1733. (43244389)",1
"Baldwin, A. (36972115)","Heptinstall, J. (269036155)",1
"Heptinstall, J. (269036155)","HOLLAND, James (bbti_108660)",1
"Heptinstall, J. (269036155)","WALSH, John (bbti_72718)",1
"Heptinstall, J. (269036155)","Aylmer, Brabazon (41690231)",1
"Heptinstall, J. (269036155)","ROGERS, William (bbti_104038)",1
"Heptinstall, J. (269036155)","Nicholson, J. (19553220)",1
"Heptinstall, J. (269036155)","BROME, Charles (bbti_9392)",1
"Heptinstall, J. (269036155)","Bonwicke, Henry (73741053)",1
"Heptinstall, J. (269036155)","CHAPMAN, Thomas (bbti_13173)",1
"Heptinstall, J. (269036155)","MONCKTON, Philip (bbti_47943)",1
"Heptinstall, J. (269036155)","ROBINSON, Joseph (bbti_113639)",1
"Heptinstall, J. (269036155)",Company of Stationers (122574378),1
"Heptinstall, J. (269036155)","Playford, Henry (42680649)",2
"Heptinstall, J. (269036155)","MORTLOCK, George (bbti_48741)",1
"WOOTTON, Matthew (bbti_78047)","FREEMAN, William (bbti_105242)",1
"WOOTTON, Matthew (bbti_78047)","COGGAN, Francis (bbti_14903)",1
"Midwinter, D. (173741386)",A. and J. Churchill (bbti_107835),1
"Midwinter, D. (173741386)","BELL, Andrew (bbti_5367)",1
"Midwinter, D. (173741386)","TAYLOR, John (bbti_107515)",1
"Midwinter, D. (173741386)","KNAPLOCK, Robert (bbti_107957)",3
"Midwinter, D. (173741386)","Tooke, Benjamin (100328493)",3
"Midwinter, D. (173741386)","BROWN, Daniel (bbti_107361)",1
"Midwinter, D. (173741386)","Lintott, Bernard (34509981)",2
"Midwinter, D. (173741386)","Tonson, Jacob (330654)",1
"Midwinter, D. (173741386)","LEWIS, William (bbti_42637)",1
"Midwinter, D. (173741386)","HORNE, Thomas (bbti_35104)",1
"Midwinter, D. (173741386)","Morphew, J. (17097029)",1
"Midwinter, D. (173741386)","Nicholson, J. (19553220)",2
"Midwinter, D. (173741386)","Bowyer, W. (46815338)",1
"Midwinter, D. (173741386)","KEBLE, Samuel (bbti_106556)",1
"Midwinter, D. (173741386)","GRIFFIN, C (bbti_28989)",1
"Midwinter, D. (173741386)","BROME, Charles (bbti_9392)",1
"Midwinter, D. (173741386)","LEIGH, T. (thomasleigh_0)",6
"Midwinter, D. (173741386)","Nutt, J. (26938284)",1
"Midwinter, D. (173741386)","Bennet, Thomas (51743443)",1
"Midwinter, D. (173741386)","WATSON, R. (ralphwatson_0)",1
"Midwinter, D. (173741386)","WILKIN, Richard (bbti_75857)",2
"Midwinter, D. (173741386)","MOORE, Thomas (bbti_48210)",1
"Midwinter, D. (173741386)","HARTLEY, John (bbti_31555)",1
"PHILLIPS, John (bbti_54144)","KEBLE, William (bbti_39462)",1
"PHILLIPS, John (bbti_54144)","Sanger, E. (22039166)",1
"PHILLIPS, John (bbti_54144)","Taylor, W. (1565494)",1
"PHILLIPS, John (bbti_54144)","Clements, Henry (44350961)",1
"PHILLIPS, John (bbti_54144)","PARKER, Richard (bbti_52439)",1
"PHILLIPS, John (bbti_54144)","Tonson, Jacob (330654)",1
"PHILLIPS, John (bbti_54144)",J. and P. Knapton (150016994),1
"PHILLIPS, John (bbti_54144)","Cliff, N. (9729889)",1
"PHILLIPS, John (bbti_54144)","TAYLOR, John (bbti_68100)",1
"PHILLIPS, John (bbti_54144)","Rhodes, H. (41714688)",1
"PHILLIPS, John (bbti_54144)","Lintott, Bernard (34509981)",1
"WALTER, John (bbti_72744)","Norris, Thomas (29437883)",2
"WALTER, John (bbti_72744)","Onley, W. (29080720)",1
"WALTER, John (bbti_72744)","BROWNE, Christopher (bbti_10228)",1
"BANBURY, Bennet (bbti_3474)","SMITH, Ralph (bbti_64335)",1
"BILLING, R (bbti_6378)","MORETON, Elias (bbti_112981)",1
"BILLING, R (bbti_6378)","PICARD, R (bbti_54336)",1
"Ray, Joseph (58966351)",A. and J. Churchill (aandjchurchill_0),1
"CROOK, Andrew (andrewcrook_1)","GUNNE, Matthew (mathewgunne_0)",2
"CROOK, Andrew (andrewcrook_1)","DOBSON, E. (eliphaldobson_0)",2
"Bennet, Thomas (51743443)","PARKER, Richard (bbti_52439)",1
"Bennet, Thomas (51743443)",J. and P. Knapton (150016994),2
"Bennet, Thomas (51743443)","HARRIS, George (bbti_31021)",1
"Bennet, Thomas (51743443)","BOSVILLE, Alexander (bbti_7880)",1
"Bennet, Thomas (51743443)","WOTTON, Mathew (bbti_105842)",1
"Bennet, Thomas (51743443)","SARE, Richard (bbti_60899)",1
"Bennet, Thomas (51743443)","Tooke, Benjamin (100328493)",1
"Bennet, Thomas (51743443)","BROWN, Daniel (bbti_107361)",1
"Bennet, Thomas (51743443)","BARKER, B. (benjaminbarker_0)",1
"Bennet, Thomas (51743443)","S W, --- (bbti_60472)",1
"Bennet, Thomas (51743443)","WARREN, Thomas (bbti_73278)",4
"Bennet, Thomas (51743443)","Strahan, G. (71442890)",1
"Bennet, Thomas (51743443)","Tonson, Jacob (330654)",1
"Bennet, Thomas (51743443)","DAVIS, William (bbti_19047)",1
"Bennet, Thomas (51743443)","MATTHEWS, John (bbti_132753)",1
"Bennet, Thomas (51743443)",A. and J. Churchill (bbti_107835),1
"Bennet, Thomas (51743443)","BRADYLL, Thomas (bbti_107764)",1
"Bennet, Thomas (51743443)","SMITH, Sam (bbti_64396)",1
"Bennet, Thomas (51743443)","WALFORD, Benjamin (bbti_107857)",1
"Bennet, Thomas (51743443)","TAYLOR, Randolph (bbti_68227)",1
"SIMMONS, Church (churchsimmons_0)","Tracy, E. (48823380)",1
"Jones, Edward (19566142)",A. and J. Churchill (bbti_107835),1
"Jones, Edward (19566142)","Lowndes, Samuel (2698233)",1
"Jones, Edward (19566142)",Company of Stationers (122574378),1
"Nutt, J. (26938284)","NEWMAN, Hugh (bbti_50050)",1
"Nutt, J. (26938284)","BRISCOE, Samuel (bbti_9201)",3
"Nutt, J. (26938284)","Croom, George (54065151)",1
"Nutt, J. (26938284)","LEIGH, T. (thomasleigh_0)",1
"Nutt, J. (26938284)","James, Thomas (63893036)",1
"Nutt, J. (26938284)","Dennis, John, 1657-1734. (100973436)",1
"Nutt, J. (26938284)","Downing, J. (51926513)",3
"Nutt, J. (26938284)","HIM, him (thomashume_1)",2
"Nutt, J. (26938284)","TURNER, William (bbti_70987)",1
"Nutt, J. (26938284)","GARDINER, James (bbti_132746)",1
"Nutt, J. (26938284)","HAWES, William (bbti_31974)",1
"Nutt, J. (26938284)","BRUDENELL, John (bbti_106112)",1
"Nutt, J. (26938284)","Onley, W. (29080720)",1
"Nutt, J. (26938284)","BROWN, Daniel (bbti_107361)",1
"Nutt, J. (26938284)","Castle, Edward (41737022)",1
"Nutt, J. (26938284)",Company of Stationers (122574378),1
"Nutt, J. (26938284)","COLSON, William (williamcolson_0)",1
"Nutt, J. (26938284)","Lintott, Bernard (34509981)",2
"Nutt, J. (26938284)","Motte, B. (311426459)",1
"Nutt, J. (26938284)","JANEWAY, Richard II (bbti_37484)",1
"Nutt, J. (26938284)","H, J. (7255138)",1
"Nutt, J. (26938284)","SAWBRIDGE, George II (bbti_61088)",1
"Nutt, J. (26938284)","Sawbridge, George, active 1692-1711, (43885988)",1
"Morphew, J. (17097029)","Berrington, E. (NV2979)",1
"Morphew, J. (17097029)","Lintott, Bernard (34509981)",1
"Morphew, J. (17097029)","WOODWARD, James (bbti_77895)",7
"Morphew, J. (17097029)","Meere, H. (65560351)",1
"Morphew, J. (17097029)","Janeway, Richard (77742949)",2
"Morphew, J. (17097029)","Baker, J. (33425968)",1
"Morphew, J. (17097029)","WOODWARD, John (bbti_110417)",1
"Morphew, J. (17097029)","BOROUGHS, R (bbti_7840)",1
"Morphew, J. (17097029)","DOLPHIN, William (bbti_20521)",1
"Morphew, J. (17097029)","Strahan, G. (71442890)",1
"Morphew, J. (17097029)","BAKER, John (bbti_3052)",1
"Morphew, J. (17097029)","Tooke, Benjamin (100328493)",1
"Morphew, J. (17097029)","Taylor, W. (1565494)",1
"Morphew, J. (17097029)","Clements, Henry (44350961)",1
"Morphew, J. (17097029)","PARKER, Richard (bbti_52439)",1
"Morphew, J. (17097029)","King, C. (7257114)",1
"Morphew, J. (17097029)","Smith, R. (66368711)",1
"Morphew, J. (17097029)","Nutt, John, active 1691-1716, (NV23177)",1
"Morphew, J. (17097029)","BARKER, B. (benjaminbarker_0)",1
"Morphew, J. (17097029)","DARRACK, Thomas (bbti_18487)",1
"Morphew, J. (17097029)","SMITH, Ralph (bbti_64335)",1
"Morphew, J. (17097029)","POWELL, Edmund (bbti_55493)",1
"Morphew, J. (17097029)","MATTHEWS, John (bbti_132753)",1
"Morphew, J. (17097029)","CLARKE, Hannah (bbti_89290)",1
"Morphew, J. (17097029)","LILLIE, Charles (bbti_42781)",1
"Morphew, J. (17097029)","WARD, Josiah (bbti_113642)",1
"Morphew, J. (17097029)","SAYES, William (bbti_108679)",1
"Morphew, J. (17097029)","MIDDLETON, W. (wmiddleton_0)",1
"WOTTON, Mathew (bbti_105842)","Nicholson, J. (19553220)",4
"WOTTON, Mathew (bbti_105842)","Tooke, Benjamin (100328493)",6
"WOTTON, Mathew (bbti_105842)","SMITH, Ralph (bbti_64335)",3
"WOTTON, Mathew (bbti_105842)","MANSHIP, Samuel (bbti_104724)",4
"WOTTON, Mathew (bbti_105842)","PARKER, Richard (bbti_52439)",4
"WOTTON, Mathew (bbti_105842)","BONWICKE, Rebecca (bbti_7688)",3
"WOTTON, Mathew (bbti_105842)","FREEMAN, William (bbti_105242)",5
"WOTTON, Mathew (bbti_105842)","Conyers, G. (21998777)",1
"WOTTON, Mathew (bbti_105842)","Chiswell, Richard (24655896)",1
"WOTTON, Mathew (bbti_105842)","Dawks, J. (63599288)",1
"WOTTON, Mathew (bbti_105842)","SPRINT, John (bbti_108120)",1
"WOTTON, Mathew (bbti_105842)","Ballard, Thomas, active 1698-1734. (72811927)",1
"WOTTON, Mathew (bbti_105842)","SARE, Richard (bbti_60899)",1
"WOTTON, Mathew (bbti_105842)","BROWN, Daniel (bbti_107361)",1
"WOTTON, Mathew (bbti_105842)","BARKER, B. (benjaminbarker_0)",1
"WOTTON, Mathew (bbti_105842)","Bonwicke, Henry (73741053)",1
"WOTTON, Mathew (bbti_105842)",A. and J. Churchill (bbti_107835),1
"WOTTON, Mathew (bbti_105842)","ROGERS, William (bbti_104038)",1
"WOTTON, Mathew (bbti_105842)","HARTLEY, John (bbti_31555)",1
"WOTTON, Mathew (bbti_105842)","HARRISON, J (bbti_31247)",1
"WOTTON, Mathew (bbti_105842)","CLEAVE, John (bbti_108083)",1
"WOTTON, Mathew (bbti_105842)","BOSVILLE, Alexander (bbti_7880)",1
"WOTTON, Mathew (bbti_105842)","BROWNE, Daniel I (bbti_10232)",1
"WOTTON, Mathew (bbti_105842)","COGGAN, Francis (bbti_14903)",1
"WOTTON, Mathew (bbti_105842)","PLACE, Edward (bbti_54789)",1
"WOTTON, Mathew (bbti_105842)","VINCENT, Robert (bbti_71765)",1
A. and J. Churchill (bbti_107835),"BELL, Andrew (bbti_5367)",1
A. and J. Churchill (bbti_107835),"TAYLOR, John (bbti_107515)",1
A. and J. Churchill (bbti_107835),"KNAPLOCK, Robert (bbti_107957)",1
A. and J. Churchill (bbti_107835),"Tooke, Benjamin (100328493)",2
A. and J. Churchill (bbti_107835),"BROWN, Daniel (bbti_107361)",1
A. and J. Churchill (bbti_107835),"Lintott, Bernard (34509981)",1
A. and J. Churchill (bbti_107835),"Tonson, Jacob (330654)",1
A. and J. Churchill (bbti_107835),"LEWIS, William (bbti_42637)",1
A. and J. Churchill (bbti_107835),"HORNE, Thomas (bbti_35104)",1
A. and J. Churchill (bbti_107835),"Wellington, R. (46660218)",1
A. and J. Churchill (bbti_107835),"Chiswell, Richard (24655896)",1
A. and J. Churchill (bbti_107835),"CLAVELL, Roger (bbti_14312)",2
A. and J. Churchill (bbti_107835),"ROBINSON, Joseph (bbti_113639)",2
A. and J. Churchill (bbti_107835),"SCOTT, Robert (bbti_105534)",1
A. and J. Churchill (bbti_107835),"Lowndes, Samuel (2698233)",1
A. and J. Churchill (bbti_107835),"ROGERS, William (bbti_104038)",1
A. and J. Churchill (bbti_107835),"HARTLEY, John (bbti_31555)",1
A. and J. Churchill (bbti_107835),"HARRISON, J (bbti_31247)",1
A. and J. Churchill (bbti_107835),"FREEMAN, William (bbti_105242)",1
A. and J. Churchill (bbti_107835),"CLEAVE, John (bbti_108083)",1
A. and J. Churchill (bbti_107835),"BOSVILLE, Alexander (bbti_7880)",1
A. and J. Churchill (bbti_107835),"BROWNE, Daniel I (bbti_10232)",1
A. and J. Churchill (bbti_107835),"COGGAN, Francis (bbti_14903)",1
A. and J. Churchill (bbti_107835),"PLACE, Edward (bbti_54789)",1
A. and J. Churchill (bbti_107835),"VINCENT, Robert (bbti_71765)",1
A. and J. Churchill (bbti_107835),"Bowyer, W. (46815338)",1
A. and J. Churchill (bbti_107835),"SARE, Richard (bbti_60899)",1
A. and J. Churchill (bbti_107835),"Place, J. (54032983)",1
A. and J. Churchill (bbti_107835),"BATTERSBY, Winstanley (bbti_109409)",1
A. and J. Churchill (bbti_107835),"WARREN, Thomas (bbti_73278)",1
A. and J. Churchill (bbti_107835),"LOWNDES, A. (alowndes_0)",1
A. and J. Churchill (bbti_107835),"BRADYLL, Thomas (bbti_107764)",1
A. and J. Churchill (bbti_107835),"SMITH, Sam (bbti_64396)",1
A. and J. Churchill (bbti_107835),"WALFORD, Benjamin (bbti_107857)",1
A. and J. Churchill (bbti_107835),"TAYLOR, Randolph (bbti_68227)",1
"BODDINGTON, Nicholas (bbti_107904)","Dawks, J. (63599288)",2
"BODDINGTON, Nicholas (bbti_107904)","Boddington, Nicholas, active 1687-1717, (51636516)",1
"BODDINGTON, Nicholas (bbti_107904)","WILDE, John (bbti_108712)",1
Company of Stationers (122574378),"RICHARDSON, William (bbti_58050)",2
Company of Stationers (122574378),"PRATT, William (bbti_55668)",1
Company of Stationers (122574378),"Roberts, Robert (41745564)",3
Company of Stationers (122574378),"Griffin, B. (4815474)",1
Company of Stationers (122574378),"WILDE, John (bbti_108712)",7
Company of Stationers (122574378),"Richardson, Samuel, 1689-1761. (41845728)",1
Company of Stationers (122574378),"ILIVE, Thomas (bbti_108069)",2
Company of Stationers (122574378),"EVERINGHAM, Elinor Mrs (bbti_23234)",3
Company of Stationers (122574378),"Bowyer, W. (46815338)",1
Company of Stationers (122574378),"Barber, John (NV2330)",1
Company of Stationers (122574378),"HORTON, William (bbti_35206)",2
Company of Stationers (122574378),"Dawks, J. (63599288)",1
Company of Stationers (122574378),"James, Thomas (63893036)",2
Company of Stationers (122574378),"Croom, George (54065151)",1
Company of Stationers (122574378),"Janeway, Richard (77742949)",2
Company of Stationers (122574378),"WILMER, T (bbti_76702)",1
Company of Stationers (122574378),"Hodgkin, Thomas (78683735)",1
Company of Stationers (122574378),"WILMER, Thomas (bbti_76704)",1
Company of Stationers (122574378),"Playford, Henry (42680649)",1
"Newcomb, Thomas (12361109)","HILL, Charles (bbti_33457)",1
"Newcomb, Thomas (12361109)","DECEAS'D, Henry (henryhillsdeceasd_0)",4
"JACKSON, J (bbti_37044)","Jackson, J. (293099339)",1
"Watson, James (54200258)","VALLANGE, John (johnvallange_0)",1
"Watson, James (54200258)","WARDLAW, James (jameswardlaw_0)",1
"Sanger, E. (22039166)","Collins, Arthur, 1682?-1760. (5995757)",1
"Sanger, E. (22039166)","Baker, J. (33425968)",2
"Sanger, E. (22039166)","Cliff, N. (9729889)",1
"Sanger, E. (22039166)","Taylor, W. (1565494)",2
"Sanger, E. (22039166)","Midwinter, Daniel, active 1698-1725, (99687181)",1
"Sanger, E. (22039166)","Round, J. (34044423)",1
"Sanger, E. (22039166)","Knapton, J. (76192869)",1
"Sanger, E. (22039166)","Bell, Andrew, -1720?, (210259891)",1
"Sanger, E. (22039166)","BROWN, Daniel (bbti_107361)",1
"Sanger, E. (22039166)","SAWBRIDGE, George II (bbti_61088)",1
"Sanger, E. (22039166)","BRISCOE, Samuel (bbti_9201)",1
"Sanger, E. (22039166)","Clements, Henry (44350961)",1
"Sanger, E. (22039166)","PARKER, Richard (bbti_52439)",1
"Sanger, E. (22039166)","Tonson, Jacob (330654)",4
"Sanger, E. (22039166)",J. and P. Knapton (150016994),4
"Sanger, E. (22039166)","Curll, E. (73995150)",2
"Sanger, E. (22039166)","PEMBERTON, John (bbti_53584)",1
"Sanger, E. (22039166)","Strahan, G. (71442890)",3
"Sanger, E. (22039166)","Lintott, Bernard (34509981)",1
"Sanger, E. (22039166)","BELL, Andrew (bbti_5367)",1
"Sanger, E. (22039166)","Darby, John (311335919)",1
"Sanger, E. (22039166)","CHANTRY, John (bbti_13063)",1
"Conyers, G. (21998777)","SPRINT, John (bbti_108120)",5
"Conyers, G. (21998777)","Ballard, Thomas, active 1698-1734. (72811927)",2
"Conyers, G. (21998777)","BROWNE, Daniel II (bbti_10233)",1
"Conyers, G. (21998777)","Nicholson, J. (19553220)",1
